item	type	count
WORD/usually	word	390177
WORD/texas	word	387842
WORD/technology	word	387682
WORD/me	word	387533
WORD/featured	word	384989
WORD/spanish	word	384791
WORD/groups	word	384031
WORD/buildings	word	383982
WORD/roman	word	383137
WORD/action	word	382623
WORD/ireland	word	382520
WORD/conference	word	382246
WORD/months	word	382137
WORD/eight	word	382084
WORD/leading	word	381925
WORD/car	word	381772
WORD/los	word	381387
WORD/f	word	380919
WORD/gave	word	380828
WORD/data	word	380814
WORD/section	word	380601
WORD/followed	word	380492
WORD/management	word	378752
WORD/independent	word	377475
WORD/medical	word	376699
WORD/listed	word	375325
WORD/ten	word	374855
WORD/1987	word	374158
WORD/richard	word	373789
WORD/paris	word	373099
WORD/fourth	word	372562
WORD/hill	word	372557
WORD/peter	word	372405
WORD/above	word	371940
WORD/blue	word	371056
WORD/catholic	word	370923
WORD/31	word	370911
WORD/finished	word	369697
WORD/families	word	369685
WORD/base	word	368884
WORD/bank	word	368456
WORD/edition	word	368360
WORD/coast	word	368237
WORD/1986	word	368157
WORD/systems	word	367517
WORD/competition	word	367147
WORD/instead	word	366808
WORD/collection	word	366520
WORD/website	word	366383
WORD/real	word	366099
WORD/artist	word	365483
WORD/officer	word	365433
WORD/africa	word	364392
WORD/close	word	364195
WORD/female	word	364074
WORD/w	word	363983
WORD/thus	word	363894
WORD/library	word	363684
WORD/1984	word	363419
WORD/t	word	363008
WORD/x	word	362143
WORD/capital	word	361490
WORD/bridge	word	361468
WORD/dr	word	361468
WORD/medal	word	361450
WORD/awarded	word	361332
WORD/either	word	360429
WORD/countries	word	360014
WORD/bay	word	359648
WORD/reported	word	359573
WORD/singer	word	359392
WORD/remained	word	358958
WORD/winning	word	358459
WORD/valley	word	358051
WORD/mark	word	357813
WORD/theatre	word	356845
WORD/change	word	356764
WORD/lower	word	356722
WORD/movement	word	356516
WORD/1985	word	355403
WORD/writer	word	354840
WORD/studio	word	354438
WORD/ground	word	353880
WORD/week	word	353843
WORD/via	word	353784
WORD/added	word	353669
WORD/leader	word	353530
WORD/novel	word	353266
WORD/attack	word	352833
WORD/able	word	352773
WORD/governor	word	351240
WORD/register	word	350978
WORD/campaign	word	350955
WORD/1980	word	350593
WORD/senior	word	350002
WORD/natural	word	349726
WORD/championships	word	349342
WORD/christian	word	348939
WORD/navy	word	348723
WORD/involved	word	348369
WORD/tournament	word	347954
WORD/units	word	347672
WORD/organization	word	347523
WORD/market	word	347484
WORD/related	word	347157
WORD/1st	word	346991
WORD/industry	word	346907
WORD/size	word	345792
WORD/author	word	345476
WORD/hospital	word	344518
WORD/brown	word	344384
WORD/shows	word	344209
WORD/50	word	343496
WORD/sent	word	342857
WORD/actor	word	342075
WORD/today	word	341936
WORD/primary	word	340909
WORD/sir	word	340833
WORD/replaced	word	340803
WORD/zealand	word	338766
WORD/previous	word	338699
WORD/g	word	338459
WORD/degree	word	338344
WORD/parliament	word	338342
WORD/1983	word	337637
WORD/soon	word	337423
WORD/establishments	word	337368
WORD/provided	word	336949
WORD/least	word	335798
WORD/companies	word	335489
WORD/mid	word	335183
WORD/rather	word	334279
WORD/native	word	334016
WORD/basketball	word	333857
WORD/1982	word	333438
WORD/politician	word	333133
WORD/foreign	word	331344
WORD/19th	word	329687
WORD/regional	word	329627
WORD/artists	word	329507
WORD/below	word	328681
WORD/almost	word	328230
WORD/introduced	word	328119
WORD/operations	word	327549
WORD/behind	word	326807
WORD/standard	word	326613
WORD/beginning	word	326577
WORD/owned	word	326319
WORD/smith	word	325768
WORD/writing	word	325360
WORD/energy	word	325261
WORD/parts	word	325093
WORD/soviet	word	325079
WORD/higher	word	324811
WORD/future	word	324778
WORD/virginia	word	324599
WORD/outside	word	324046
WORD/l	word	323525
WORD/trade	word	323368
WORD/1979	word	322966
WORD/previously	word	322793
WORD/review	word	322607
WORD/van	word	322439
WORD/assembly	word	322218
WORD/placed	word	322120
WORD/unit	word	321608
WORD/sometimes	word	321494
WORD/whose	word	321106
WORD/culture	word	320787
WORD/provide	word	320703
WORD/economic	word	320234
WORD/airport	word	320100
WORD/municipality	word	319740
WORD/channel	word	319142
WORD/empire	word	318790
WORD/chicago	word	318417
WORD/limited	word	317063
WORD/bill	word	316979
WORD/student	word	316917
WORD/child	word	316428
WORD/active	word	316395
WORD/historical	word	316318
WORD/1972	word	315867
WORD/captain	word	315609
WORD/secretary	word	315282
WORD/ship	word	314954
WORD/start	word	314921
WORD/square	word	314297
WORD/approximately	word	313761
WORD/success	word	313481
WORD/1981	word	313454
WORD/far	word	313354
WORD/guitar	word	312585
WORD/n	word	312333
WORD/saw	word	312305
WORD/1976	word	312219
WORD/come	word	312108
WORD/self	word	311317
WORD/reached	word	310903
WORD/food	word	310761
WORD/woman	word	310740
WORD/too	word	310630
WORD/successful	word	310201
WORD/operation	word	309574
WORD/ever	word	309140
WORD/stated	word	309008
WORD/producer	word	308794
WORD/40	word	308369
WORD/commission	word	308188
WORD/foundation	word	307887
WORD/hit	word	307492
WORD/hand	word	307113
WORD/prior	word	307105
