item	type	count
WORD/loire	word	97737
WORD/décide	word	97688
WORD/lyon	word	97665
WORD/publication	word	97625
WORD/contrôle	word	97425
WORD/allemande	word	97399
WORD/bâtiment	word	97359
WORD/allemagne	word	97298
WORD/valeur	word	97248
WORD/compétition	word	97054
WORD/bernard	word	96861
WORD/actuellement	word	96296
WORD/comprend	word	96109
WORD/code	word	95571
WORD/commission	word	95555
WORD/tournoi	word	95466
WORD/sol	word	95401
WORD/der	word	95331
WORD/cœur	word	95313
WORD/marine	word	94945
WORD/court	word	94787
WORD/garde	word	94571
WORD/ball	word	94567
WORD/1940	word	94500
WORD/01	word	94458
WORD/outre	word	94333
WORD/uni	word	94295
WORD/européenne	word	94229
WORD/économique	word	94145
WORD/nature	word	93904
WORD/liens	word	93674
WORD/vice	word	93658
WORD/donner	word	93626
WORD/35	word	93618
WORD/pense	word	93504
WORD/bonjour	word	93438
WORD/1967	word	93154
WORD/passé	word	93135
WORD/art	word	93122
WORD/livres	word	93096
WORD/1971	word	93076
WORD/traité	word	93029
WORD/del	word	92928
WORD/chose	word	92504
WORD/présent	word	92415
WORD/joueurs	word	92395
WORD/1969	word	92350
WORD/large	word	92299
WORD/michael	word	92271
WORD/quelque	word	91943
WORD/vingt	word	91731
WORD/tel	word	91675
WORD/couleur	word	91566
WORD/pratique	word	91361
WORD/lignes	word	91270
WORD/devenu	word	91255
WORD/police	word	91249
WORD/taille	word	91107
WORD/décision	word	91083
WORD/module	word	90902
WORD/1944	word	90863
WORD/g	word	90731
WORD/45	word	90400
WORD/sécurité	word	90270
WORD/atteint	word	90232
WORD/acteur	word	90159
WORD/message	word	90115
WORD/vitesse	word	90011
WORD/fédération	word	89989
WORD/taux	word	89987
WORD/montréal	word	89932
WORD/numéro	word	89885
WORD/charge	word	89715
WORD/permettant	word	89481
WORD/passer	word	89456
WORD/majorité	word	89283
WORD/fit	word	89173
WORD/termine	word	89162
WORD/école	word	89110
WORD/rugby	word	89023
WORD/publiée	word	88949
WORD/fond	word	88905
WORD/auteur	word	88872
WORD/marché	word	88794
WORD/minutes	word	88613
WORD/pièces	word	88513
WORD/parties	word	88495
WORD/basse	word	88370
WORD/quatrième	word	88114
WORD/capitaine	word	87855
WORD/association	word	87565
WORD/italie	word	87528
WORD/signe	word	87460
WORD/propose	word	87357
WORD/derniers	word	87313
WORD/trouver	word	87305
WORD/îles	word	87295
WORD/08	word	87279
WORD/annonce	word	87126
WORD/député	word	87094
WORD/petits	word	87082
WORD/1964	word	87052
WORD/doute	word	87030
WORD/buts	word	87017
WORD/1965	word	86918
WORD/clubs	word	86901
WORD/1966	word	86900
WORD/1931	word	86860
WORD/mont	word	86784
WORD/désormais	word	86657
WORD/maurice	word	86641
WORD/marc	word	86508
WORD/bibliothèque	word	86260
WORD/mêmes	word	85985
WORD/quant	word	85971
WORD/ministère	word	85899
WORD/catholique	word	85897
WORD/pièce	word	85792
WORD/pu	word	85601
WORD/fc	word	85568
WORD/devenir	word	85547
WORD/mode	word	85543
WORD/km	word	85528
WORD/longue	word	85501
WORD/scénario	word	85459
WORD/publique	word	85409
WORD/doivent	word	85402
WORD/no	word	85368
WORD/tv	word	85280
WORD/seigneur	word	85250
WORD/certain	word	85202
WORD/géographique	word	85125
WORD/veut	word	84912
WORD/presque	word	84792
WORD/guillaume	word	84785
WORD/kilomètres	word	84764
WORD/secrétaire	word	84655
WORD/affaires	word	84566
WORD/bruxelles	word	84493
WORD/science	word	84459
WORD/commerce	word	84413
WORD/terrain	word	84413
WORD/divers	word	84346
WORD/santé	word	84193
WORD/protection	word	84186
WORD/fondation	word	84172
WORD/1926	word	84063
WORD/tours	word	83991
WORD/comment	word	83888
WORD/feu	word	83856
WORD/meurt	word	83840
WORD/fondé	word	83611
WORD/anciens	word	83538
WORD/activités	word	83527
WORD/unique	word	83514
WORD/célèbre	word	83509
WORD/réforme	word	83495
WORD/personnages	word	83443
WORD/probablement	word	83007
WORD/choix	word	82882
WORD/représentant	word	82835
WORD/1930	word	82645
WORD/japonais	word	82590
WORD/concours	word	82483
WORD/glace	word	82447
WORD/berlin	word	82291
WORD/supérieur	word	81958
WORD/pourquoi	word	81941
WORD/noms	word	81932
WORD/considéré	word	81722
WORD/1921	word	81709
WORD/principaux	word	81675
WORD/1939	word	81425
WORD/classique	word	81406
WORD/éd	word	81310
WORD/1963	word	81148
WORD/gestion	word	81096
WORD/situe	word	80922
WORD/langues	word	80894
WORD/conditions	word	80815
WORD/maintenant	word	80810
WORD/seine	word	80760
WORD/suivi	word	80725
WORD/source2	word	80675
WORD/voyage	word	80328
WORD/indique	word	80281
WORD/surface	word	80134
WORD/los	word	80107
WORD/littérature	word	79962
WORD/antoine	word	79960
WORD/contrat	word	79914
WORD/compris	word	79867
WORD/mariage	word	79853
WORD/rock	word	79734
WORD/directement	word	79724
WORD/secteur	word	79705
WORD/épisodes	word	79652
WORD/parlement	word	79619
WORD/chaîne	word	79574
WORD/apparaît	word	79557
WORD/forte	word	79554
WORD/nos	word	79531
WORD/1958	word	79495
WORD/rend	word	79493
WORD/âge	word	79479
WORD/fondée	word	79464
WORD/loin	word	79401
WORD/daniel	word	79208
WORD/compositeur	word	79170
WORD/contenant	word	78760
WORD/bronze	word	78707
WORD/hors	word	78697
WORD/connue	word	78612
WORD/utilisée	word	78600
WORD/statut	word	78349
WORD/upright	word	78281
WORD/32	word	78120
WORD/magazine	word	78104
WORD/représente	word	78097
WORD/mémoire	word	77904
WORD/rené	word	77757
WORD/régions	word	77617
WORD/iv	word	77580
WORD/problèmes	word	77517
WORD/neuf	word	77486
WORD/valeurs	word	77482
WORD/central	word	77479
WORD/1914	word	77271
WORD/quitte	word	77045
WORD/camp	word	77007
WORD/bord	word	76957
WORD/moderne	word	76769
WORD/écrivain	word	76561
WORD/laurent	word	76542
WORD/1956	word	76521
WORD/1961	word	76470
WORD/moitié	word	76396
WORD/ordre	word	76267
WORD/via	word	76212
WORD/jeunesse	word	76146
WORD/quoi	word	76143
WORD/1911	word	75992
WORD/conseiller	word	75976
WORD/peter	word	75916
WORD/frères	word	75902
WORD/chacun	word	75864
