item	type	count
WORD/robert	word	166886
WORD/frauen	word	166141
WORD/finden	word	165883
WORD/1976	word	165811
WORD/1933	word	165209
WORD/daher	word	164893
WORD/1968	word	164820
WORD/le	word	164296
WORD/martin	word	164221
WORD/allen	word	163991
WORD/entwicklung	word	163798
WORD/rahmen	word	163758
WORD/schule	word	163292
WORD/erschien	word	163169
WORD/damals	word	163032
WORD/ehemaligen	word	162994
WORD/süden	word	162732
WORD/gut	word	162523
WORD/französischen	word	162343
WORD/richtung	word	162313
WORD/1969	word	161757
WORD/et	word	161438
WORD/to	word	161271
WORD/1971	word	160961
WORD/ddr	word	160770
WORD/1973	word	160299
WORD/ernst	word	160134
WORD/county	word	160011
WORD/gemeinsam	word	159353
WORD/auflage	word	158992
WORD/international	word	158897
WORD/jahres	word	158848
WORD/du	word	158770
WORD/folgender	word	158704
WORD/1977	word	158650
WORD/eingesetzt	word	158601
WORD/for	word	158094
WORD/stark	word	157551
WORD/lange	word	157538
WORD/muss	word	156833
WORD/einsatz	word	156337
WORD/konnten	word	156257
WORD/kunst	word	156140
WORD/bischof	word	156096
WORD/erneut	word	155931
WORD/zahlreiche	word	155847
WORD/sowohl	word	155605
WORD/weil	word	155576
WORD/1938	word	155243
WORD/1939	word	154542
WORD/serie	word	154541
WORD/ließ	word	154049
WORD/fußballspieler	word	153459
WORD/osten	word	153434
WORD/eigenen	word	152945
WORD/1960	word	152602
WORD/burg	word	152287
WORD/schweizer	word	151998
WORD/heutigen	word	151922
WORD/1967	word	151837
WORD/beginn	word	151701
WORD/bestand	word	151265
WORD/darunter	word	150991
WORD/kleine	word	150871
WORD/klasse	word	150662
WORD/gegenüber	word	150662
WORD/werk	word	150551
WORD/j	word	150424
WORD/1964	word	150244
WORD/westen	word	149875
WORD/professor	word	149627
WORD/mann	word	149467
WORD/krieg	word	149012
WORD/schweiz	word	148554
WORD/1944	word	148537
WORD/vereinigten	word	148261
WORD/verschiedene	word	148259
WORD/1966	word	148091
WORD/insel	word	148024
WORD/saint	word	147808
WORD/starb	word	147775
WORD/preis	word	147751
WORD/1965	word	147581
WORD/beispielsweise	word	147224
WORD/findet	word	146950
WORD/otto	word	146836
WORD/national	word	146803
WORD/50	word	146188
WORD/alter	word	145709
WORD/bedeutung	word	145585
WORD/ortsteil	word	145312
WORD/höhe	word	145124
WORD/1963	word	144746
WORD/spiel	word	144431
WORD/europa	word	144087
WORD/regierung	word	144045
